Time;BTC;DOGE;ETH;LTC;REP;Sum
2017-05-03 23:17;19,70;;78,88;20,81;;119,39
2017-05-04 20:18;21,21;;90,45;24,91;;136,57
2017-05-05 19:11;20,1;11,58;91,73;24,06;;147,47
2017-05-06 18:56;20,28;12,37;92,78;25,91;;151,34
2017-05-09 0:50;21,77;20,34;89,27;28,45;;159,83
2017-05-09 2:15;21,99;20,58;88,62;28,49;34,7;194,38
2017-05-09 23:59;22,46;17,51;87,45;30,14;32,45;190,01
2017-05-11 0:57;23,15;18,83;86,94;32,18;34,36;195,46
2017-05-11 22:17;24,17;17,48;87,87;29,62;34,36;193,50
2017-05-12 1:55;24,13;17,99;88,05;30,02;36,08;196,27
2017-05-13 1:57;22,41;17,48;85,25;27,00;33,72;185,86
2017-05-14 15:32;23,67;17,04;89,19;28,90;34,24;193,04
